EventID, Duration, TimeStep, Region, AEP, Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8640,25,5,Wet Tropics,intermediate,20,26.52,19.57,17.39,16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8642,25,5,Wet Tropics,intermediate,19.69,16.53,12.8,23.54,27.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8643,25,5,Wet Tropics,intermediate,20.93,19.95,14.4,19.91,24.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2964,25,5,Wet Tropics,rare,19.08,20.72,22.37,22.7,15.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5106,25,5,Wet Tropics,rare,12.78,13.7,19.78,36.08,17.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8553,25,5,Wet Tropics,rare,17.21,16.75,17.92,22.41,25.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8556,25,5,Wet Tropics,rare,18.3,15.85,31.71,19.51,14.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8562,25,5,Wet Tropics,rare,28.82,21.48,16.58,16.57,16.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8603,25,5,Wet Tropics,rare,20.25,20.92,22.88,22.22,13.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8606,25,5,Wet Tropics,rare,21.29,26.91,18.47,17.67,15.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8611,25,5,Wet Tropics,rare,17.02,21.28,25.53,21.28,14.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8628,25,5,Wet Tropics,rare,28.88,9.68,9.68,23.74,28.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8632,25,5,Wet Tropics,rare,20.83,23.88,17.69,17.3,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8645,30,5,Wet Tropics,frequent,20.01,26.67,17.33,13.33,13.33,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8660,30,5,Wet Tropics,frequent,28.57,23.38,6.94,8.65,15.58,16.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8661,30,5,Wet Tropics,frequent,12.91,13.36,13.36,19.24,24.24,16.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8665,30,5,Wet Tropics,frequent,9.63,24.1,16.87,19.28,19.28,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8666,30,5,Wet Tropics,frequent,16.83,19.83,18.08,18.78,12.87,13.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8668,30,5,Wet Tropics,frequent,14.8,17.49,14.35,22.42,18.83,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8669,30,5,Wet Tropics,frequent,10.87,21.74,15.22,21.74,17.39,13.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8674,30,5,Wet Tropics,frequent,18.96,16.28,20.34,17.58,13.42,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8675,30,5,Wet Tropics,frequent,10.26,11.4,15.27,19.92,23.98,19.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
