duration_h,stratum,kind,aep_rain,weight,depth_point_mm,arf,depth_mm,q_peak,t_peak_h,volume_m3,prod_store,rout_store,donor_index,pattern_id,pattern_band,pattern_index,burst_start_step,month
6.0,1,0,0.8705824833877867,0.0006065467342724377,18.86925172526255,0.941,17.75596587347206,0.18895729911264636,19.0,20998.084914405365,6.460524369274475,21.538564240390304,4,6900,frequent,7,0,12
6.0,1,0,0.8833199648075079,0.0006065467342724377,18.471900111638075,0.941,17.382058005051427,0.12207207217163268,20.0,12858.530319496753,4.386597527521461,17.59590331474779,8,6877,frequent,1,0,2
6.0,1,0,0.8942378060244117,0.0006065467342724377,18.113450466929606,0.941,17.044756889380757,0.25281166225090845,20.0,28897.61977102994,9.014584711221108,23.684141183818397,52,6894,frequent,2,0,9
6.0,1,0,0.8881723386816873,0.0006065467342724377,18.314826373077743,0.941,17.234251617066157,0.25767521166640667,20.0,29392.24946777161,9.014584711221108,23.684141183818397,52,6894,frequent,2,0,9
6.0,1,0,0.8978770864300464,0.0006065467342724377,17.989704531208123,0.941,16.928311963866843,0.07283131443680455,21.0,8636.214587119119,0.2771316986375856,20.357466895650933,38,6896,frequent,3,0,1
6.0,1,0,0.8687628431849693,0.0006065467342724377,18.92441952905557,0.941,17.80787877684129,0.07983519111306198,21.0,8500.72373504822,0.9495558506127089,17.340705860073204,10,6898,frequent,5,0,12
6.0,1,0,0.882106871338963,0.0006065467342724377,18.510646339033627,0.941,17.418518205030644,3.7462151812609266,19.0,374228.3150477848,32.39596435561998,23.448290628725527,30,6894,frequent,2,0,12
6.0,1,0,0.876647950730511,0.0006065467342724377,18.682576466728506,0.941,17.580304455191524,3.7536208440924836,20.0,373367.60033967235,32.39596435561998,23.448290628725527,30,6898,frequent,5,0,12
6.0,1,0,0.8887788854159598,0.0006065467342724377,18.294948288913908,0.941,17.215546339867988,0.17906629193200968,21.0,19786.908522254642,6.460524369274475,21.538564240390304,4,6903,frequent,9,0,12
6.0,1,0,0.8772544974647835,0.0006065467342724377,18.663663045189328,0.941,17.562506925523156,0.4557563555967003,20.0,48041.79185721562,16.005579763221203,19.501508504253966,12,6870,frequent,0,0,1
6.0,1,0,0.891811619087322,0.0006065467342724377,18.19470505086635,0.941,17.121217452865235,1.1886149964133172,20.0,133663.24431639677,23.08761379488496,31.22266150359006,21,6900,frequent,7,0,6
6.0,1,0,0.8681562964506969,0.0006065467342724377,18.942726797477434,0.941,17.825105916426264,14.536203760935784,15.0,1453609.947429649,35.46662039727254,55.8449911661217,19,6902,frequent,8,0,6
6.0,1,0,0.8645170160450623,0.0006065467342724377,19.05173487567879,0.941,17.92768251801374,0.5750563885428276,21.0,64023.78703363073,15.83201755861286,26.192486886835006,45,6870,frequent,0,0,5
6.0,1,0,0.8899919788845047,0.0006065467342724377,18.255023339199735,0.941,17.17797696218695,9.16068327118936,17.0,956016.176473509,34.76222886941459,46.40064260982508,48,6894,frequent,2,0,6
6.0,1,0,0.8948443527586842,0.0006065467342724377,18.092984295104902,0.941,17.025498221693713,14.545254559551422,15.0,1433901.287702041,35.46662039727254,55.8449911661217,19,6870,frequent,0,0,6
6.0,1,0,0.8827134180732354,0.0006065467342724377,18.491298557767706,0.941,17.40031194285941,0.11573767849860088,20.0,12742.977050694988,3.3579932631801093,19.77234502442255,0,6877,frequent,1,0,1
6.0,1,0,0.8675497497164245,0.0006065467342724377,18.96099368184427,0.941,17.842295054615455,1.2578012081653576,20.0,140440.43235548754,23.08761379488496,31.22266150359006,21,6900,frequent,7,0,6
6.0,1,0,0.8875657919474149,0.0006065467342724377,18.334648968188215,0.941,17.25290467906511,0.5535204088324965,19.0,59152.74965048061,18.359476814436633,20.806733523582437,37,6900,frequent,7,0,11
6.0,1,0,0.8990901798985913,0.0006065467342724377,17.947936585409057,0.941,16.88900832686992,0.4728232048726483,20.0,53927.26964010298,13.39144277499351,26.528391510807122,24,6870,frequent,0,0,9
6.0,1,0,0.8699759366535142,0.0006065467342724377,18.887682367047095,0.941,17.773309107391317,17.11292829017134,15.0,1383166.7002769038,35.19687080224384,31.761591872478665,2,6903,frequent,9,0,5
6.0,1,0,0.8657301095136072,0.0006065467342724377,19.015555633477458,0.941,17.893637851102287,9.365416397776581,18.0,973976.7804731098,34.76222886941459,46.40064260982508,48,6877,frequent,1,0,6
6.0,1,0,0.8802872311361457,0.0006065467342724377,18.568390644089746,0.941,17.47285559608845,15.354454707764745,16.0,1300914.6570116763,35.36701674056721,32.27791442535522,31,6897,frequent,4,0,12
6.0,1,0,0.8984836331643188,0.0006065467342724377,17.968853860990144,0.941,16.908691483191724,0.13452518926100676,20.0,14832.941653993923,4.9277897602189675,20.181081046825515,33,6897,frequent,4,0,2
6.0,1,0,0.8711890301220592,0.0006065467342724377,18.85077920286086,0.941,17.73858322989207,0.12796305249030693,21.0,13439.524086232102,4.386597527521461,17.59590331474779,8,6898,frequent,5,0,2
6.0,1,0,0.872402123590604,0.0006065467342724377,18.813706966522325,0.941,17.703698255497507,1.4497550411427003,20.0,156702.25907631483,26.13292837241084,30.215224276079958,44,6894,frequent,2,0,4
