EventID,Region,Region (source),Duration,TimeStep,Original Burst Depth (mm),Area,AspectRatio,Rotation,Burst Start Time,Lat,Long
5581,Murray Basin,Murray Basin,1440,60,102.21,5000,3.6,0.7853982,3183,-34.0875,149.7125
5582,Murray Basin,Murray Basin,1440,60,100.82,5000,3.6,1.5707963,1301,-35.4875,149.4125
5583,Murray Basin,Murray Basin,1440,60,91.67,5000,1.5,0,2298,-37.0875,146.3125
5584,Murray Basin,Murray Basin,1440,60,89.71,5000,3.6,1.5707963,1367,-35.2875,149.2125
5585,Murray Basin,Murray Basin,1440,60,88.73,5000,3.6,0.7853982,216,-36.4875,146.6125
5586,Murray Basin,Murray Basin,1440,60,83.93,5000,1.5,0,3130,-37.3875,146.2125
5587,Murray Basin,Murray Basin,1440,60,137.61,10000,2.3,1.5707963,785,-35.4875,149.5125
5588,Murray Basin,Murray Basin,1440,60,112.32,10000,1.5,1.5707963,1868,-36.6875,146.0125
5589,Murray Basin,Murray Basin,1440,60,99.83,10000,1.5,1.5707963,1918,-35.4875,149.0125
5590,Murray Basin,Murray Basin,1440,60,99.19,10000,1.5,0,3052,-37.1875,146.4125
5591,Murray Basin,Murray Basin,1440,60,89.45,10000,2.3,2.3561945,59,-33.8875,149.5125
5592,Murray Basin,Murray Basin,1440,60,93.89,10000,2.3,0.7853982,3183,-34.1875,149.6125
5593,Murray Basin,Murray Basin,1440,60,93.1,10000,2.3,1.5707963,390,-35.0875,147.9125
5594,Murray Basin,Murray Basin,1440,60,92.58,10000,2.3,1.5707963,609,-33.7875,149.2125
5595,Murray Basin,Murray Basin,1440,60,90.99,10000,1.5,2.3561945,322,-37.2875,143.4125
5596,Murray Basin,Murray Basin,1440,60,90.08,10000,2.3,1.5707963,179,-34.8875,148.1125
5597,Murray Basin,Murray Basin,1440,60,111.16,20000,3.6,1.5707963,176,-34.6125,149.3875
5598,Murray Basin,Murray Basin,1440,60,99.09,20000,2.3,1.5707963,784,-35.3625,149.2625
5599,Murray Basin,Murray Basin,1440,60,95.11,20000,2.3,1.5707963,3049,-37.2375,145.7625
5600,Murray Basin,Murray Basin,1440,60,88.01,20000,2.3,1.5707963,556,-34.2375,149.6375
5601,Murray Basin,Murray Basin,1440,60,85.83,20000,3.6,1.5707963,608,-33.8625,149.1375
5602,Murray Basin,Murray Basin,1440,60,83.61,20000,1.5,1.5707963,322,-37.4875,143.8875
5603,Murray Basin,Murray Basin,1440,60,83.39,20000,3.6,0,2230,-36.3625,149.1375
5604,Murray Basin,Murray Basin,1440,60,80.16,20000,2.3,1.5707963,1869,-36.4875,145.8875
5605,Murray Basin,Murray Basin,1440,60,75.16,20000,2.3,0.7853982,3184,-34.1125,149.6375
5606,Murray Basin,Murray Basin,1440,60,77.49,20000,1.5,1.5707963,3331,-37.3625,146.3875
5607,Murray Basin,Murray Basin,1440,60,102.24,40000,2.3,1.5707963,176,-34.6125,149.1375
5608,Murray Basin,Murray Basin,1440,60,89.68,40000,1.5,1.5707963,3049,-37.2375,145.6375
5609,Murray Basin,Murray Basin,1440,60,83.28,40000,1.5,2.3561945,784,-34.9875,149.5125
5610,Murray Basin,Murray Basin,1440,60,85.72,40000,2.3,1.5707963,2230,-37.2375,147.5125
5611,Murray Basin,Murray Basin,1440,60,71.38,40000,1.5,2.3561945,2153,-34.3625,149.6375
5612,Murray Basin,Murray Basin,1440,60,68.1,40000,1.5,0.7853982,1869,-36.3625,146.5125
5613,Murray Basin,Murray Basin,1440,60,65.15,40000,1.5,2.3561945,1024,-34.2375,149.7625
