#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: August, 2024"
#
#,"For description of data owner codes see http://www.bom.gov.au/water/hrs/content/data_owners.csv"
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
AWRC Station Number,Station Name,Latitude,Longitude,Jurisdiction,Catchment Area (km2),Data Owner Name,Data Owner Code
145102B,Albert River at Bromfleet,-27.91,153.11,QLD,544.6,"Department of Regional Development, Manufacturing and Water",w00066
145107A,Canungra Creek at Main Road Bridge,-27.99625,153.15875,QLD,102.3,"Department of Regional Development, Manufacturing and Water",w00066
146010A,Coomera River at Army Camp,-28.0256055,153.1931055,QLD,96.6,"Department of Regional Development, Manufacturing and Water",w00066
146012A,Currumbin Creek at Nicolls Bridge,-28.17875,153.423012,QLD,29.0,"Department of Regional Development, Manufacturing and Water",w00066
146095A,Tallebudgera Creek at Tallebudgera Creek Road,-28.149219,153.40375,QLD,55.8,"Department of Regional Development, Manufacturing and Water",w00066
422202B,Dogwood Creek at Gilweir,-26.70904167,150.1790417,QLD,2882,"Department of Regional Development, Manufacturing and Water",w00066
422306A,Swan Creek at Swanfels,-28.1643325,152.2831675,QLD,82.6,"Department of Regional Development, Manufacturing and Water",w00066
422319B,Dalrymple Creek at Allora,-28.03625,152.014256,QLD,255.5,"Department of Regional Development, Manufacturing and Water",w00066
422321B,Spring Creek at Killarney,-28.35375,152.333067,QLD,31.6,"Department of Regional Development, Manufacturing and Water",w00066
422334A,Kings Creek at Aides Bridge,-27.92625,151.8624333,QLD,648.1,"Department of Regional Development, Manufacturing and Water",w00066
422338A,Canal Creek at Leyburn,-28.0321,151.5853,QLD,394.8,"Department of Regional Development, Manufacturing and Water",w00066
422394A,Condamine River at Elbow Valley,-28.371363,152.141363,QLD,328.4,"Department of Regional Development, Manufacturing and Water",w00066
424201A,Paroo River at Caiwarro,-28.689072,144.785928,QLD,22885,"Department of Regional Development, Manufacturing and Water",w00066
915206A,Dugald River at Railway Crossing,-20.2013,140.2233,QLD,658.8,"Department of Regional Development, Manufacturing and Water",w00066
917107A,Elizabeth Creek at Mount Surprise,-18.13375,144.3064833,QLD,528.1,"Department of Regional Development, Manufacturing and Water",w00066
919003A,Mitchell River at O.K. Bridge,-16.4720135,144.2904865,QLD,7734,"Department of Regional Development, Manufacturing and Water",w00066
919005A,Rifle Creek at Font Hill,-16.6788,145.2267,QLD,368.4,"Department of Regional Development, Manufacturing and Water",w00066
919201A,Palmer River at Goldfields,-16.1072295,144.7777705,QLD,533.4,"Department of Regional Development, Manufacturing and Water",w00066
919309A,Walsh River at Trimbles Crossing,-16.54485,143.78485,QLD,8638,"Department of Regional Development, Manufacturing and Water",w00066
925001A,Wenlock River at Moreton,-12.45375,142.6377,QLD,3290,"Department of Regional Development, Manufacturing and Water",w00066
926002A,Dulhunty River at Dougs Pad,-11.83125,142.42,QLD,333.3,"Department of Regional Development, Manufacturing and Water",w00066
A0020101,Diamantina River at Birdsville,-25.90875,139.3667,SA,119034,Department for Environment and Water,w00078
A0030501,Cooper Creek at Cullyamurra Water Hole,-27.70125,140.8433,SA,232846,Department for Environment and Water,w00078
A2390519,Mosquito Creek at Struan,-37.09375,140.776,SA,1550,South Australian Water Corporation (SA Water),w00209
A2390523,Stony Creek at Woakwine Range,-37.70343,140.3622,SA,485.1,South Australian Water Corporation (SA Water),w00209
A2390531,Morambro Creek at Bordertown-Naracoorte Road Bridge,-36.68875,140.6602382,SA,410.6,South Australian Water Corporation (SA Water),w00209
A4260533,Bremer River near Hartley,-35.2087,139.0063,SA,465.6,Department for Environment and Water,w00078
A5030502,Scott Creek at Scott Bottom,-35.099129,138.673371,SA,29.0,Department for Environment and Water,w00078
A5040523,Sixth Creek at Castambul,-34.87295,138.75295,SA,47.7,Hills and Fleurieu Landscape Board,w00003
A5050517,North Para River at Penrice,-34.46375,139.0584,SA,120.5,Department for Environment and Water,w00078
A5060500,Wakefield River near Rhynie,-34.13,138.63,SA,500.9,Department for Environment and Water,w00078
A5070500,Hill River near Andrews,-33.61,138.63,SA,240.3,Department for Environment and Water,w00078
A5070503,Broughton River at Mooroola,-33.5331,138.5181,SA,2464,Department for Environment and Water,w00078
A5090503,Kanyaka Creek at Old Kanyaka Ruins,-32.09,138.29,SA,175.7,Department for Environment and Water,w00078
A5130501,Rocky River upstream Gorge Falls,-35.95375,136.6983,SA,187.4,Department for Environment and Water,w00078
302200,Swan River at The Grange,-42.0467,148.075,TAS,455.5,"Department of Primary Industries, Parks, Water and Environment",w00072
302208,Meredith River at Swansea,-42.1217,148.04,TAS,86.9,"Department of Primary Industries, Parks, Water and Environment",w00072
