EventID, Duration, TimeStep, Region, AEP, Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,25,5,Central Slopes,intermediate,21.69,31.22,22.22,12.17,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2106,25,5,Central Slopes,intermediate,23.16,30.53,22.63,12.63,11.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2107,25,5,Central Slopes,intermediate,18.99,28.49,26.82,8.38,17.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2108,25,5,Central Slopes,intermediate,14.05,26.49,21.62,17.84,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,25,5,Central Slopes,intermediate,18.56,22.79,23.19,20.56,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111,25,5,Central Slopes,intermediate,15.06,22.29,25.9,17.47,19.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112,25,5,Central Slopes,intermediate,15.64,10.45,21.2,30.79,21.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,25,5,Central Slopes,intermediate,15.89,20.84,5.22,35,23.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,25,5,Central Slopes,rare,26.46,31.16,3.53,6.47,32.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,25,5,Central Slopes,rare,18.75,21.25,23.44,26.56,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,25,5,Central Slopes,rare,18.18,19.03,32.53,15.13,15.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,25,5,Central Slopes,rare,19.52,19.05,20.48,21.43,19.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,25,5,Central Slopes,rare,19.73,17.11,15.79,31.58,15.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061,25,5,Central Slopes,rare,28.41,25.14,15.3,17.49,13.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065,25,5,Central Slopes,rare,13.47,12.23,30.84,24.12,19.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2097,25,5,Central Slopes,rare,30.31,24.73,3.21,22.16,19.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2099,25,5,Central Slopes,rare,15.06,38.91,20.5,14.23,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,25,5,Central Slopes,rare,17.78,17.78,33.33,20,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139,30,5,Central Slopes,frequent,22.71,25.15,17.18,12.88,11.04,11.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142,30,5,Central Slopes,frequent,34.31,16.89,10.03,12.56,12.48,13.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2143,30,5,Central Slopes,frequent,22.92,27.51,10.76,7.97,0,30.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2144,30,5,Central Slopes,frequent,28.77,17.12,15.75,13.7,10.96,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2145,30,5,Central Slopes,frequent,14.46,14.47,14.47,14.47,14.26,27.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
